person_odid,person_name,DOB,DOB_source,Gender,Gender_source,wiki_race_tag,race_predicted,race4_predicted,race_scores_fair,race_scores_fair_4,in_actorlist,in_directorlist
580401,Johnny Depp,1963-06-09,TMDB,Male,TMDB,,Latino_Hispanic,White,"[0.27486318349838257, 0.0017716025467962027, 0.6487720012664795, 0.0005384556716307998, 0.004720717668533325, 0.045134156942367554, 0.024199917912483215]","[0.7712494730949402, 0.0034732860513031483, 0.0094379223883152, 0.21583928167819977]",True,False
590401,Cameron Diaz,1972-08-30,TMDB,Female,TMDB,Mixed,White,White,"[0.9999855756759644, 5.116382872927261e-10, 1.9322503703733673e-06, 2.28914629474275e-08, 4.0244490406848854e-08, 4.254193086694613e-08, 1.2558971320686396e-05]","[0.9999265670776367, 8.88163810941478e-07, 6.372154166456312e-05, 8.861456080921926e-06]",True,False
600401,Harrison Ford,,Unknown,,Unknown,,,,,,True,False
700401,Eddie Murphy,1961-04-03,TMDB,Male,TMDB,Black,Black,Black,"[1.1808117506006965e-06, 0.9998366832733154, 4.195556175545789e-05, 1.8390026923498226e-07, 3.4194781619589776e-06, 0.00010975894838338718, 6.708498858642997e-06]","[3.5844213925884105e-06, 0.9998610019683838, 2.777607187454123e-05, 0.00010767087223939598]",True,False
710401,Liam Neeson,1952-06-07,TMDB,Male,TMDB,,White,White,"[0.9907447695732117, 4.3117054815411393e-07, 0.00026221555890515447, 2.1175357687752694e-05, 2.1607176677207462e-05, 4.27464437962044e-05, 0.008907086215913296]","[0.9996656179428101, 2.5434303552174242e-06, 1.3280682651384268e-05, 0.00031864308402873576]",True,False
840401,Kate Winslet,1975-10-05,TMDB,Female,TMDB,White,White,White,"[0.99986732006073, 3.58790828158817e-08, 3.43966057698708e-05, 6.935550572961802e-06, 2.6665234145184513e-06, 8.808973461782443e-07, 8.781612996244803e-05]","[0.9991264939308167, 3.929651484213537e-06, 0.0008298209286294878, 3.9757815102348104e-05]",True,False
1290401,Ewan McGregor,1971-03-31,TMDB,Male,TMDB,,White,White,"[0.9999595880508423, 3.91751235895299e-08, 1.257038729818305e-05, 8.107809321700188e-07, 1.6157985101017402e-06, 5.583911502071714e-07, 2.4796756406431086e-05]","[0.9999605417251587, 4.4452346514844976e-07, 7.197373633971438e-06, 3.1822422897676006e-05]",True,False
9490401,Christian Bale,1974-01-30,TMDB,Male,TMDB,White,White,White,"[0.9845028519630432, 3.573175854398869e-05, 0.00819698628038168, 2.9624645321746357e-05, 3.606998870964162e-05, 0.0001101447269320488, 0.007088639307767153]","[0.9983049631118774, 0.000135673675686121, 1.9160543160978705e-05, 0.00154019589535892]",True,False
15940401,Orlando Bloom,1977-01-13,TMDB,Male,TMDB,,White,White,"[0.956578254699707, 5.6428907555527985e-05, 0.019784949719905853, 5.802615123684518e-05, 0.00011529064795468003, 0.0006095400312915444, 0.022797439247369766]","[0.9945631623268127, 0.0004106729757040739, 0.0015066895866766572, 0.003519497811794281]",True,False
28330401,Hayden Christensen,1981-04-19,TMDB,Male,TMDB,,White,White,"[0.9980192184448242, 1.2312929129620898e-06, 0.00035554106580093503, 1.4717412341269664e-05, 8.928094757720828e-06, 9.500440683041234e-07, 0.0015995221910998225]","[0.9999104738235474, 3.214168464182876e-05, 3.170832133037038e-05, 2.5686926164780743e-05]",True,False
