person_odid,person_name,movies,detail,image_url,wiki_race_tag_actors,wiki_race_tag_directors,gender,tmdb_id,DOB,race_predicted,race4_predicted,gender_predicted,age_predicted,race_scores_fair,race_scores_fair_4,age_scores_fair,gender_scores_fair,in_actorlist,in_directorlist
580401,Johnny Depp,['Pirates of the Caribbean: Dead Man’s Chest'],"{'adult': False, 'gender': 2, 'id': 85, 'known_for_department': 'Acting', 'name': 'Johnny Depp', 'original_name': 'Johnny Depp', 'popularity': 4.5671, 'profile_path': '/wcI594cwM4ArPwvRd2IU0Z0yLuh.jpg', 'known_for': [{'adult': False, 'backdrop_path': '/rrCc7dONpjAt8N8VO0dGpdIXCVU.jpg', 'id': 22, 'title': 'Pirates of the Caribbean: The Curse of the Black Pearl', 'original_title': 'Pirates of the Caribbean: The Curse of the Black Pearl', 'overview': ""After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves."", 'poster_path': '/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [12, 14, 28], 'popularity': 20.8669, 'release_date': '2003-07-09', 'video': False, 'vote_average': 7.815, 'vote_count': 21503}, {'adult': False, 'backdrop_path': '/vr6n6ZFUZvedvIlhfYcbCWcaKyW.jpg', 'id': 58, 'title': ""Pirates of the Caribbean: Dead Man's Chest"", 'original_title': ""Pirates of the Caribbean: Dead Man's Chest"", 'overview': ""Captain Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."", 'poster_path': '/lAhcKRt0ggTFkeFL95jrGQYaRXs.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [12, 14, 28], 'popularity': 19.471, 'release_date': '2006-07-06', 'video': False, 'vote_average': 7.371, 'vote_count': 16638}, {'adult': False, 'backdrop_path': '/bSvUW4JQ6g4QiKvwejcfcPRd4Ke.jpg', 'id': 118, 'title': 'Charlie and the Chocolate Factory', 'original_title': 'Charlie and the Chocolate Factory', 'overview': ""A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."", 'poster_path': '/iKP6wg3c6COUe8gYutoGG7qcPnO.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [12, 35, 10751, 14], 'popularity': 11.939, 'release_date': '2005-07-13', 'video': False, 'vote_average': 7.041, 'vote_count': 15694}]}",https://image.tmdb.org/t/p/w500/wcI594cwM4ArPwvRd2IU0Z0yLuh.jpg,,,2.0,85,1963-06-09,Latino_Hispanic,White,Male,30-39,"[0.27486318349838257, 0.0017716025467962027, 0.6487720012664795, 0.0005384556716307998, 0.004720717668533325, 0.045134156942367554, 0.024199917912483215]","[0.7712494730949402, 0.0034732860513031483, 0.0094379223883152, 0.21583928167819977]","[3.5843645491695497e-06, 2.2646881916443817e-05, 0.0013807424111291766, 0.0665275827050209, 0.634239673614502, 0.2878982722759247, 0.009847528301179409, 7.84755902714096e-05, 1.5183785535555216e-06]","[0.9984663724899292, 0.001533646252937615]",True,False
590401,Cameron Diaz,['Shrek 2'],"{'adult': False, 'gender': 1, 'id': 6941, 'known_for_department': 'Acting', 'name': 'Cameron Diaz', 'original_name': 'Cameron Diaz', 'popularity': 2.1701, 'profile_path': '/d4f4cQ9EiYuvNMjT1IB2h06KoRx.jpg', 'known_for': [{'adult': False, 'backdrop_path': '/40Wtp7kMG6mZ4d5T1jfrd8qrvD4.jpg', 'id': 808, 'title': 'Shrek', 'original_title': 'Shrek', 'overview': ""It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey."", 'poster_path': '/o04jZs5SXhbvhqO4981W7KJXOWZ.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [16, 35, 14, 12, 10751], 'popularity': 23.1579, 'release_date': '2001-05-18', 'video': False, 'vote_average': 7.752, 'vote_count': 18032}, {'adult': False, 'backdrop_path': '/9Ebn8atCcGk5OZrx4xmoTobAxoh.jpg', 'id': 1581, 'title': 'The Holiday', 'original_title': 'The Holiday', 'overview': 'Two women, one American and one British, swap homes at Christmastime following bad breakups. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.', 'poster_path': '/h1ITOpvJN3Tw4Sy60w2QTfYMvdd.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [35, 10749], 'popularity': 5.0074, 'release_date': '2006-12-05', 'video': False, 'vote_average': 7.09, 'vote_count': 5360}, {'adult': False, 'backdrop_path': '/egJQ3nIon5fT8wyXcKRHzvmtZpD.jpg', 'id': 544, 'title': ""There's Something About Mary"", 'original_title': ""There's Something About Mary"", 'overview': 'For Ted, prom night went about as bad as it’s possible for any night to go. Thirteen years later, he finally gets another chance with his old prom date, only to run up against other suitors including the sleazy detective he hired to find her.', 'poster_path': '/slJD1Dvnsf15LoeqhERsyzisAdn.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [10749, 35], 'popularity': 5.6423, 'release_date': '1998-07-15', 'video': False, 'vote_average': 6.618, 'vote_count': 5118}]}",https://image.tmdb.org/t/p/w500/d4f4cQ9EiYuvNMjT1IB2h06KoRx.jpg,Mixed,,1.0,6941,1972-08-30,White,White,Female,20-29,"[0.9999855756759644, 5.116382872927261e-10, 1.9322503703733673e-06, 2.28914629474275e-08, 4.0244490406848854e-08, 4.254193086694613e-08, 1.2558971320686396e-05]","[0.9999265670776367, 8.88163810941478e-07, 6.372154166456312e-05, 8.861456080921926e-06]","[1.1008053135697082e-08, 8.251349754573312e-06, 0.006254597567021847, 0.5969846844673157, 0.3810776472091675, 0.01558215543627739, 9.206964023178443e-05, 6.440830020437716e-07, 2.676198285200826e-08]","[1.1340453056618571e-06, 0.9999988079071045]",True,False
600401,Harrison Ford,['Star Wars Ep. IV: A New Hope'],,,,,0.0,,,,,,,,,,,True,False
700401,Eddie Murphy,['Shrek 2'],"{'adult': False, 'gender': 2, 'id': 776, 'known_for_department': 'Acting', 'name': 'Eddie Murphy', 'original_name': 'Eddie Murphy', 'popularity': 2.5427, 'profile_path': '/qgjMfefsKwSYsyCaIX46uyOXIpy.jpg', 'known_for': [{'adult': False, 'backdrop_path': '/40Wtp7kMG6mZ4d5T1jfrd8qrvD4.jpg', 'id': 808, 'title': 'Shrek', 'original_title': 'Shrek', 'overview': ""It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey."", 'poster_path': '/o04jZs5SXhbvhqO4981W7KJXOWZ.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [16, 35, 14, 12, 10751], 'popularity': 23.1579, 'release_date': '2001-05-18', 'video': False, 'vote_average': 7.752, 'vote_count': 18033}, {'adult': False, 'backdrop_path': '/8ohobj5lAIbl5XWw11FywS3IRrS.jpg', 'id': 809, 'title': 'Shrek 2', 'original_title': 'Shrek 2', 'overview': ""Shrek, Fiona, and Donkey set off to Far, Far Away to meet Fiona's mother and father, the Queen and King. But not everyone is happily ever after. Shrek and the King find it difficult to get along, and there's tension in the marriage. The Fairy Godmother discovers that Fiona has married Shrek instead of her son Prince Charming and plots to destroy their marriage."", 'poster_path': '/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [16, 10751, 35, 14, 12, 10749], 'popularity': 12.833, 'release_date': '2004-05-19', 'video': False, 'vote_average': 7.303, 'vote_count': 12957}, {'adult': False, 'backdrop_path': '/mUYV0ZdsDEliGaQahcQH1F3grsP.jpg', 'id': 10674, 'title': 'Mulan', 'original_title': 'Mulan', 'overview': ""To save her father from certain death in the army, a young woman secretly enlists in his place and becomes one of China's greatest heroines in the process."", 'poster_path': '/bj3iSjLlkwHtJrPmvHXa8P7edI9.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [16, 10751, 12], 'popularity': 11.1037, 'release_date': '1998-06-18', 'video': False, 'vote_average': 7.905, 'vote_count': 10124}]}",https://image.tmdb.org/t/p/w500/qgjMfefsKwSYsyCaIX46uyOXIpy.jpg,Black,,2.0,776,1961-04-03,Black,Black,Male,40-49,"[1.1808117506006965e-06, 0.9998366832733154, 4.195556175545789e-05, 1.8390026923498226e-07, 3.4194781619589776e-06, 0.00010975894838338718, 6.708498858642997e-06]","[3.5844213925884105e-06, 0.9998610019683838, 2.777607187454123e-05, 0.00010767087223939598]","[3.1541201224172255e-06, 1.4794296475884039e-05, 0.0006599668995477259, 0.06260783970355988, 0.42095085978507996, 0.455463171005249, 0.05753662437200546, 0.0026545380242168903, 0.00010902812209678814]","[0.9999966621398926, 3.285209913883591e-06]",True,False
710401,Liam Neeson,['Star Wars Ep. I: The Phantom Menace'],"{'adult': False, 'gender': 2, 'id': 3896, 'known_for_department': 'Acting', 'name': 'Liam Neeson', 'original_name': 'Liam Neeson', 'popularity': 5.5386, 'profile_path': '/sRLev3wJioBgun3ZoeAUFpkLy0D.jpg', 'known_for': [{'adult': False, 'backdrop_path': '/zb6fM1CX41D9rF9hdgclu0peUmy.jpg', 'id': 424, 'title': ""Schindler's List"", 'original_title': ""Schindler's List"", 'overview': 'The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.', 'poster_path': '/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [18, 36, 10752], 'popularity': 13.7821, 'release_date': '1993-12-15', 'video': False, 'vote_average': 8.567, 'vote_count': 16768}, {'adult': False, 'backdrop_path': '/wDe8LzwuvHYYiuwyNfxdYQq8ti4.jpg', 'id': 1893, 'title': 'Star Wars: Episode I - The Phantom Menace', 'original_title': 'Star Wars: Episode I - The Phantom Menace', 'overview': 'Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.', 'poster_path': '/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [12, 28, 878], 'popularity': 7.2077, 'release_date': '1999-05-19', 'video': False, 'vote_average': 6.567, 'vote_count': 15282}, {'adult': False, 'backdrop_path': '/auLFB4G02tW4SxBqTDeybV0lXVl.jpg', 'id': 8681, 'title': 'Taken', 'original_title': 'Taken', 'overview': 'Bryan Mills, a former government operative, is trying to reconnect with his teenage daughter Kim. After reluctantly agreeing with his ex-wife to let Kim go to Paris on vacation with a friend, his worst nightmare comes true. While on the phone with his daughter shortly after she arrives in Paris, she and her friend are abducted by a gang of human traffickers. Working against the clock, Bryan relies on his extensive training and skills to track down the ruthless gang that abducted her and launch a one-man war to rescue his daughter.', 'poster_path': '/y5Va1WXDX6nZElVirPrGxf6w99B.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [28, 53], 'popularity': 12.2166, 'release_date': '2008-02-18', 'video': False, 'vote_average': 7.399, 'vote_count': 11686}]}",https://image.tmdb.org/t/p/w500/sRLev3wJioBgun3ZoeAUFpkLy0D.jpg,,,2.0,3896,1952-06-07,White,White,Male,50-59,"[0.9907447695732117, 4.3117054815411393e-07, 0.00026221555890515447, 2.1175357687752694e-05, 2.1607176677207462e-05, 4.27464437962044e-05, 0.008907086215913296]","[0.9996656179428101, 2.5434303552174242e-06, 1.3280682651384268e-05, 0.00031864308402873576]","[0.00020396382024046034, 0.00027567578945308924, 0.0010874014114961028, 0.0006443798774853349, 0.013673730194568634, 0.2125779241323471, 0.6819669008255005, 0.08588606119155884, 0.00368398055434227]","[0.9993780851364136, 0.0006218896596692502]",True,False
840401,Kate Winslet,['Titanic'],"{'adult': False, 'gender': 1, 'id': 204, 'known_for_department': 'Acting', 'name': 'Kate Winslet', 'original_name': 'Kate Winslet', 'popularity': 4.6301, 'profile_path': '/cPRq7uH3PIFcHilP15BrMKunink.jpg', 'known_for': [{'adult': False, 'backdrop_path': '/tupgjqhWx5oieQrdyesO3aclUX9.jpg', 'id': 597, 'title': 'Titanic', 'original_title': 'Titanic', 'overview': ""101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912."", 'poster_path': '/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [18, 10749], 'popularity': 21.7272, 'release_date': '1997-11-18', 'video': False, 'vote_average': 7.9, 'vote_count': 26388}, {'adult': False, 'backdrop_path': '/744ybMaYRry1IQKoDakMc4GEU4L.jpg', 'id': 38, 'title': 'Eternal Sunshine of the Spotless Mind', 'original_title': 'Eternal Sunshine of the Spotless Mind', 'overview': 'Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.', 'poster_path': '/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [878, 18, 10749], 'popularity': 11.1484, 'release_date': '2004-03-19', 'video': False, 'vote_average': 8.091, 'vote_count': 15739}, {'adult': False, 'backdrop_path': '/9Ebn8atCcGk5OZrx4xmoTobAxoh.jpg', 'id': 1581, 'title': 'The Holiday', 'original_title': 'The Holiday', 'overview': 'Two women, one American and one British, swap homes at Christmastime following bad breakups. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.', 'poster_path': '/h1ITOpvJN3Tw4Sy60w2QTfYMvdd.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [35, 10749], 'popularity': 5.0074, 'release_date': '2006-12-05', 'video': False, 'vote_average': 7.09, 'vote_count': 5360}]}",https://image.tmdb.org/t/p/w500/cPRq7uH3PIFcHilP15BrMKunink.jpg,White,,1.0,204,1975-10-05,White,White,Female,20-29,"[0.99986732006073, 3.58790828158817e-08, 3.43966057698708e-05, 6.935550572961802e-06, 2.6665234145184513e-06, 8.808973461782443e-07, 8.781612996244803e-05]","[0.9991264939308167, 3.929651484213537e-06, 0.0008298209286294878, 3.9757815102348104e-05]","[2.9669178225333326e-09, 1.664998308115173e-05, 0.051439911127090454, 0.8304566740989685, 0.11721914261579514, 0.0008663911139592528, 1.2170850141046685e-06, 9.433036574080234e-09, 3.185028629726361e-10]","[9.572777344146743e-06, 0.9999904632568359]",True,False
1290401,Ewan McGregor,"['Star Wars Ep. III: Revenge of the Sith', 'Star Wars Ep. I: The Phantom Menace']","{'adult': False, 'gender': 2, 'id': 3061, 'known_for_department': 'Acting', 'name': 'Ewan McGregor', 'original_name': 'Ewan McGregor', 'popularity': 2.5227, 'profile_path': '/q2UDxfwWnmXTB7khOUF3J9puBVP.jpg', 'known_for': [{'adult': False, 'backdrop_path': '/wUc83y8kXNdRK66o0HU5X8eBri4.jpg', 'id': 627, 'title': 'Trainspotting', 'original_title': 'Trainspotting', 'overview': ""Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends --Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind as Begbie and Sick Boy come knocking."", 'poster_path': '/1jUC02qsqS2NxBMFarbIhcQtazV.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [18, 80], 'popularity': 5.4854, 'release_date': '1996-02-23', 'video': False, 'vote_average': 7.96, 'vote_count': 10047}, {'adult': False, 'backdrop_path': '/wDe8LzwuvHYYiuwyNfxdYQq8ti4.jpg', 'id': 1893, 'title': 'Star Wars: Episode I - The Phantom Menace', 'original_title': 'Star Wars: Episode I - The Phantom Menace', 'overview': 'Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.', 'poster_path': '/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [12, 28, 878], 'popularity': 7.2077, 'release_date': '1999-05-19', 'video': False, 'vote_average': 6.567, 'vote_count': 15283}, {'adult': False, 'backdrop_path': '/bLqUd0tBvKezDr9MEla7k34i3rp.jpg', 'id': 587, 'title': 'Big Fish', 'original_title': 'Big Fish', 'overview': 'Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.', 'poster_path': '/tjK063yCgaBAluVU72rZ6PKPH2l.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [12, 14, 18], 'popularity': 5.967, 'release_date': '2003-12-25', 'video': False, 'vote_average': 7.755, 'vote_count': 7487}]}",https://image.tmdb.org/t/p/w500/q2UDxfwWnmXTB7khOUF3J9puBVP.jpg,,,2.0,3061,1971-03-31,White,White,Male,30-39,"[0.9999595880508423, 3.91751235895299e-08, 1.257038729818305e-05, 8.107809321700188e-07, 1.6157985101017402e-06, 5.583911502071714e-07, 2.4796756406431086e-05]","[0.9999605417251587, 4.4452346514844976e-07, 7.197373633971438e-06, 3.1822422897676006e-05]","[7.671293360544951e-07, 8.011289173737168e-05, 0.0067518590949475765, 0.3255540132522583, 0.5870930552482605, 0.0794544667005539, 0.0010610749013721943, 4.474013621802442e-06, 1.9375914916963666e-07]","[0.9999788999557495, 2.113111622747965e-05]",True,False
9490401,Christian Bale,['The Dark Knight'],"{'adult': False, 'gender': 2, 'id': 3894, 'known_for_department': 'Acting', 'name': 'Christian Bale', 'original_name': 'Christian Bale', 'popularity': 4.5445, 'profile_path': '/7Pxez9J8fuPd2Mn9kex13YALrCQ.jpg', 'known_for': [{'adult': False, 'backdrop_path': '/6fA9nie4ROlkyZAUlgKNjGNCbHG.jpg', 'id': 155, 'title': 'The Dark Knight', 'original_title': 'The Dark Knight', 'overview': 'Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.', 'poster_path': '/qJ2tW6WMUDux911r6m7haRef0WH.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [18, 28, 80, 53], 'popularity': 32.9421, 'release_date': '2008-07-16', 'video': False, 'vote_average': 8.5, 'vote_count': 34536}, {'adult': False, 'backdrop_path': '/y2DB71C4nyIdMrANijz8mzvQtk6.jpg', 'id': 49026, 'title': 'The Dark Knight Rises', 'original_title': 'The Dark Knight Rises', 'overview': ""Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy."", 'poster_path': '/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [28, 80, 18, 53], 'popularity': 12.7881, 'release_date': '2012-07-17', 'video': False, 'vote_average': 7.8, 'vote_count': 23608}, {'adult': False, 'backdrop_path': '/ew5FcYiRhTYNJAkxoVPMNlCOdVn.jpg', 'id': 272, 'title': 'Batman Begins', 'original_title': 'Batman Begins', 'overview': 'Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.', 'poster_path': '/sPX89Td70IDDjVr85jdSBb4rWGr.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [18, 80, 28], 'popularity': 14.291, 'release_date': '2005-06-10', 'video': False, 'vote_average': 7.718, 'vote_count': 21867}]}",https://image.tmdb.org/t/p/w500/7Pxez9J8fuPd2Mn9kex13YALrCQ.jpg,White,,2.0,3894,1974-01-30,White,White,Male,30-39,"[0.9845028519630432, 3.573175854398869e-05, 0.00819698628038168, 2.9624645321746357e-05, 3.606998870964162e-05, 0.0001101447269320488, 0.007088639307767153]","[0.9983049631118774, 0.000135673675686121, 1.9160543160978705e-05, 0.00154019589535892]","[1.9333775469476677e-07, 8.034399797907099e-06, 0.0030916789546608925, 0.33767542243003845, 0.6202742457389832, 0.03868507593870163, 0.0002632671676110476, 1.929920699694776e-06, 5.427451910122727e-08]","[0.9996402263641357, 0.00035980474785901606]",True,False
15940401,Orlando Bloom,['Pirates of the Caribbean: Dead Man’s Chest'],"{'adult': False, 'gender': 2, 'id': 114, 'known_for_department': 'Acting', 'name': 'Orlando Bloom', 'original_name': 'Orlando Bloom', 'popularity': 2.0972, 'profile_path': '/lwQoA0qJTCZ6l2FH6PjmhRQjiaB.jpg', 'known_for': [{'adult': False, 'backdrop_path': '/vr6n6ZFUZvedvIlhfYcbCWcaKyW.jpg', 'id': 58, 'title': ""Pirates of the Caribbean: Dead Man's Chest"", 'original_title': ""Pirates of the Caribbean: Dead Man's Chest"", 'overview': ""Captain Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."", 'poster_path': '/lAhcKRt0ggTFkeFL95jrGQYaRXs.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [12, 14, 28], 'popularity': 19.471, 'release_date': '2006-07-06', 'video': False, 'vote_average': 7.371, 'vote_count': 16638}, {'adult': False, 'backdrop_path': '/rrCc7dONpjAt8N8VO0dGpdIXCVU.jpg', 'id': 22, 'title': 'Pirates of the Caribbean: The Curse of the Black Pearl', 'original_title': 'Pirates of the Caribbean: The Curse of the Black Pearl', 'overview': ""After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves."", 'poster_path': '/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [12, 14, 28], 'popularity': 20.8669, 'release_date': '2003-07-09', 'video': False, 'vote_average': 7.815, 'vote_count': 21503}, {'adult': False, 'backdrop_path': '/y51M7Ca95sCXTCDvJaRP1uzxKbg.jpg', 'id': 652, 'title': 'Troy', 'original_title': 'Troy', 'overview': 'In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. They set off with 1,000 ships holding 50,000 Greeks to Troy.', 'poster_path': '/a07wLy4ONfpsjnBqMwhlWTJTcm.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [10752, 28, 36], 'popularity': 13.593, 'release_date': '2004-05-13', 'video': False, 'vote_average': 7.2, 'vote_count': 10642}]}",https://image.tmdb.org/t/p/w500/lwQoA0qJTCZ6l2FH6PjmhRQjiaB.jpg,,,2.0,114,1977-01-13,White,White,Male,30-39,"[0.956578254699707, 5.6428907555527985e-05, 0.019784949719905853, 5.802615123684518e-05, 0.00011529064795468003, 0.0006095400312915444, 0.022797439247369766]","[0.9945631623268127, 0.0004106729757040739, 0.0015066895866766572, 0.003519497811794281]","[9.171064903057413e-07, 6.768542334611993e-06, 0.0005787017871625721, 0.032204769551754, 0.5291102528572083, 0.4217067360877991, 0.01629398576915264, 9.739449160406366e-05, 4.602463263836398e-07]","[1.0, 1.0790201621091455e-08]",True,False
28330401,Hayden Christensen,['Star Wars Ep. III: Revenge of the Sith'],"{'adult': False, 'gender': 2, 'id': 17244, 'known_for_department': 'Acting', 'name': 'Hayden Christensen', 'original_name': 'Hayden Christensen', 'popularity': 3.1169, 'profile_path': '/hqEgJYEUvZvL9ytmmiYBbbt63qd.jpg', 'known_for': [{'adult': False, 'backdrop_path': '/jniabJVBSW3EqLlyhjxWCZjVkiE.jpg', 'id': 1895, 'title': 'Star Wars: Episode III - Revenge of the Sith', 'original_title': 'Star Wars: Episode III - Revenge of the Sith', 'overview': 'The evil Darth Sidious enacts his final plan for unlimited power – and the heroic Jedi Anakin Skywalker must choose a side.', 'poster_path': '/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [12, 28, 878], 'popularity': 7.5718, 'release_date': '2005-05-17', 'video': False, 'vote_average': 7.453, 'vote_count': 14396}, {'adult': False, 'backdrop_path': '/msYmRFJfXy0zsFd73PAEqdetKpO.jpg', 'id': 1894, 'title': 'Star Wars: Episode II - Attack of the Clones', 'original_title': 'Star Wars: Episode II - Attack of the Clones', 'overview': 'Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever.', 'poster_path': '/oZNPzxqM2s5DyVWab09NTQScDQt.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [12, 28, 878], 'popularity': 6.7787, 'release_date': '2002-05-15', 'video': False, 'vote_average': 6.585, 'vote_count': 13839}, {'adult': False, 'backdrop_path': '/25OT7Xp6juYNXQVkaxfKpj3ZoPF.jpg', 'id': 8247, 'title': 'Jumper', 'original_title': 'Jumper', 'overview': 'David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival!', 'poster_path': '/3pPZ9JhNz3VMmASVir5SMHvTDUU.jpg', 'media_type': 'movie', 'original_language': 'en', 'genre_ids': [28, 12, 878], 'popularity': 5.273, 'release_date': '2008-02-13', 'video': False, 'vote_average': 6.161, 'vote_count': 5989}]}",https://image.tmdb.org/t/p/w500/hqEgJYEUvZvL9ytmmiYBbbt63qd.jpg,,,2.0,17244,1981-04-19,White,White,Male,20-29,"[0.9980192184448242, 1.2312929129620898e-06, 0.00035554106580093503, 1.4717412341269664e-05, 8.928094757720828e-06, 9.500440683041234e-07, 0.0015995221910998225]","[0.9999104738235474, 3.214168464182876e-05, 3.170832133037038e-05, 2.5686926164780743e-05]","[2.7344572117726784e-07, 0.00017553403449710459, 0.3891269266605377, 0.5850602388381958, 0.024235829710960388, 0.0013730479404330254, 2.7241527277510613e-05, 7.859454740355432e-07, 3.5047808211174925e-08]","[0.9977673292160034, 0.002232661936432123]",True,False
