person_odid,person_name,DOB,DOB_source,Gender,Gender_source,wiki_race_tag,race_predicted,race4_predicted,race_scores_fair,race_scores_fair_4,in_actorlist,in_directorlist
580401,Johnny Depp,1963-06-09,TMDB,Male,TMDB,,,,,,True,False
590401,Cameron Diaz,1972-08-30,TMDB,Female,TMDB,Mixed,,,,,True,False
600401,Harrison Ford,,Unknown,,Unknown,,,,,,True,False
700401,Eddie Murphy,1961-04-03,TMDB,Male,TMDB,Black,,,,,True,False
710401,Liam Neeson,1952-06-07,TMDB,Male,TMDB,,,,,,True,False
840401,Kate Winslet,1975-10-05,TMDB,Female,TMDB,White,,,,,True,False
1290401,Ewan McGregor,1971-03-31,TMDB,Male,TMDB,,,,,,True,False
9490401,Christian Bale,1974-01-30,TMDB,Male,TMDB,White,,,,,True,False
15940401,Orlando Bloom,1977-01-13,TMDB,Male,TMDB,,,,,,True,False
28330401,Hayden Christensen,1981-04-19,TMDB,Male,TMDB,,,,,,True,False
39750401,Leonardo DiCaprio,1974-11-11,TMDB,Male,TMDB,White,,,,,True,False
48440401,Carrie Fisher,,Unknown,,Unknown,,,,,,True,False
50340401,Megan Fox,1986-05-16,TMDB,Female,TMDB,,,,,,True,False
60740401,Mark Hamill,,Unknown,,Unknown,,,,,,True,False
78970401,Keira Knightley,1985-03-26,TMDB,Female,TMDB,,,,,,True,False
80850401,Shia LaBeouf,1986-06-11,TMDB,Male,TMDB,White,,,,,True,False
83480401,Heath Ledger,1979-04-04,TMDB,Male,TMDB,White,,,,,True,False
86720401,Jake Lloyd,,Unknown,,Unknown,,,,,,True,False
90320401,Tobey Maguire,1975-06-27,TMDB,Male,TMDB,Mixed,,,,,True,False
104060401,Mike Myers,1963-05-25,TMDB,Male,TMDB,White,,,,,True,False
106110401,Bill Nighy,1949-12-12,TMDB,Male,TMDB,,,,,,True,False
115800401,Natalie Portman,1981-06-09,TMDB,Female,TMDB,,,,,,True,False
141560401,Henry Thomas,1971-09-09,TMDB,Male,TMDB,,,,,,True,False
2460401,Andrew Adamson,1966-12-01,Wiki_document,Male,Wiki_document,White,,,,,False,True
5880401,Avi Arad,1948-08-01,TMDB,Male,TMDB,White,,,,,False,True
6860401,Kelly Asbury,1960-01-15,TMDB,Male,TMDB,,,,,,False,True
11530401,Michael Bay,1965-02-17,TMDB,Male,TMDB,White,,,,,False,True
23100401,James Cameron,1954-08-16,TMDB,Male,TMDB,White,,,,,False,True
