name,movie,title,summary,country_hint,merged_race_keywords
James Cameron,Titanic,James Cameron,"James Francis Cameron (born August 16, 1954) is a Canadian and New Zealand filmmaker and deep-sea explorer. A major figure in the post-New Hollywood era, his films combine cutting-edge film technology with classical filmmaking techniques and have grossed over $8 billion worldwide, making him the second-highest-grossing film director of all time. Cameron has received numerous accolades including three Academy Awards, two Primetime Emmy Awards, and four Golden Globe Awards, as well as nominations for six British Academy Film Awards.
Born and raised in Canada, Cameron moved to California aged 17 and enrolled at Fullerton College, and then studied at the USC library. Beginning his career with the short film Xenogenesis (1978), he first gained recognition for writing and directing the science fiction action film The Terminator (1984). He had further success with Aliens (1986), The Abyss (1989), Terminator 2: Judgment Day (1991), and True Lies (1994), as well as Avatar (2009) and its sequels. He directed, wrote, co-produced, and co-edited the historical romance epic Titanic (1997), winning Academy Awards for Best Picture, Best Director, and Best Film Editing.
Three of Cameron's films—Avatar (2009), Avatar: The Way of Water (2022) and Titanic (1997)—are amongst the top four highest-grossing films of all time, with Avatar in the top spot until it was surpassed by Avengers: Endgame (2019), but it has returned to first place since 2021. He directed the first film to gross over $1 billion, the first two films to gross over $2 billion each, and is the only director to have had three films gross over $2 billion each. The Terminator, Terminator 2: Judgment Day, and Titanic have been selected for preservation in the National Film Registry by the Library of Congress. Cameron also co-founded the production companies Lightstorm Entertainment, Digital Domain, and Earthship Productions. In 2010, Time named Cameron one of the 100 most influential people in the world.
In addition to filmmaking, he is a National Geographic explorer-in-residence and has produced many documentaries on deep-ocean exploration, including Ghosts of the Abyss (2003) and Aliens of the Deep (2005). Cameron has also contributed to underwater filming and remote vehicle technologies, and helped create the new digital 3D Fusion Camera System. In 2012, he became the first person to complete a solo descent to the bottom of the Mariana Trench, the deepest part of Earth's ocean, in the Deepsea Challenger submersible. He is also an environmentalist and runs several sustainability businesses.",Canadian,['Scottish']
Christopher Nolan,The Dark Knight,Christopher Nolan,"Sir Christopher Edward Nolan (born 30 July 1970) is a British and American filmmaker. Known for his Hollywood blockbusters with structurally complex storytelling, he is considered a leading filmmaker of the 21st century. Nolan's films have earned over $6.6 billion worldwide, making him the seventh-highest-grossing film director. His accolades include two Academy Awards, a Golden Globe Award and two British Academy Film Awards. Nolan was appointed a Commander of the Order of the British Empire in 2019 and received a knighthood in 2024 for his contributions to film.
Nolan developed an interest in filmmaking from a young age. After studying English literature at University College London, he made several short films before his feature film debut with Following (1998). Nolan gained international recognition with his second film, Memento (2000), and transitioned into studio filmmaking with Insomnia (2002). He became a high-profile director with The Dark Knight trilogy (2005–2012) and found further success with The Prestige (2006), Inception (2010), Interstellar (2014) and Dunkirk (2017). After the release of Tenet (2020), Nolan parted ways with longtime distributor Warner Bros. Pictures and signed with Universal Pictures for the biographical thriller Oppenheimer (2023), which won him Academy Awards for Best Director and Best Picture.
Nolan's work regularly features in the listings of best films of their respective decades. Infused with a metaphysical outlook, his films thematise epistemology, existentialism, ethics, the construction of time and the malleable nature of memory and personal identity. They feature mathematically inspired images and concepts, unconventional narrative structures, practical special effects, experimental soundscapes, large-format film photography and materialistic perspectives. His enthusiasm for the use and preservation of traditional film stock in cinema production as opposed to digital cameras has also garnered significant attention. He has co-written several of his films with his brother, Jonathan, and runs the production company Syncopy Inc. with his wife, Emma Thomas.

",British,"['American', 'Irish', 'British']"
Emma Thomas,The Dark Knight,Emma Thomas,"Dame Emma Thomas, Lady Nolan (born 9 December 1971) is a British film producer. She has produced all of the feature films directed by her husband Christopher Nolan, which have grossed more than $6 billion worldwide and are regarded as some of the greatest films of their respective decades.
She received the Academy Award, BAFTA and Critics' Choice Movie Award for producing Nolan's biographical thriller Oppenheimer (2023), becoming the first British woman to win the Oscar for Best Picture. Thomas received a damehood in 2024 for her contributions to film.",British,
Charles Roven,The Dark Knight,Charles Roven,"Charles ""Chuck"" Roven (born August 1, 1949) is an American film producer and the president and co-founder of Atlas Entertainment.
He is known for producing superhero films such as The Dark Knight Trilogy, Man of Steel, Batman v Superman: Dawn of Justice, and Suicide Squad.

",American,
Jonathan Nolan,The Dark Knight,Jonathan Nolan,"Jonathan Jensen Nolan (born 6 June 1976) is a British and American screenwriter and producer. He is the creator of the CBS science fiction series Person of Interest (2011–2016) and co-creator of the HBO science fiction/Western series Westworld (2016–2022).
Nolan has collaborated on several films with his brother, film director Christopher Nolan, who adapted Jonathan's short story ""Memento Mori"" into the neo-noir thriller film Memento (2000). Together, the brothers co-wrote the mystery-thriller film The Prestige (2006), the superhero films The Dark Knight (2008) and The Dark Knight Rises (2012), and the science-fiction film Interstellar (2014). In 2024, he executive produced and directed the first three episodes of the television series adaptation of Fallout.
Nolan was nominated for the Academy Award for Best Original Screenplay for Memento, and for the Primetime Emmy Award for Outstanding Writing for a Drama Series and Outstanding Directing for a Drama Series for Westworld.

",British,['American']
Andrew Adamson,Shrek 2,Andrew Adamson,"Andrew Ralph Adamson  (born 1 December 1966) is a New Zealand film director, producer, screenwriter, and animator. He is best known for directing the DreamWorks animated film Shrek (2001), which is based on the children's picture book of the same name by American author William Steig and won the first Academy Award for Best Animated Feature at the 74th Academy Awards ceremony, and directing and co-writing Shrek 2 (2004), which was nominated for Academy Award for Best Animated Feature. He also directed and co-wrote the first two live-action film adaptations of C. S. Lewis' The Chronicles of Narnia novels: The Lion, the Witch and the Wardrobe (2005) and Prince Caspian (2008).

",New Zealand,
Kelly Asbury,Shrek 2,Kelly Asbury,"Kelly Adam Asbury (January 15, 1960 – June 26, 2020) was an American film director, writer, voice actor, and illustrator. He was best known for directing the animated films Spirit: Stallion of the Cimarron (2002), Shrek 2 (2004), Gnomeo & Juliet (2011), Smurfs: The Lost Village (2017), and UglyDolls (2019).

",American,
Jeffrey Katzenberg,Shrek 2,Jeffrey Katzenberg,"Jeffrey Katzenberg ( KAT-sən-burg; born December 21, 1950) is an American media proprietor and film producer. He served as chairman of Walt Disney Studios from 1984 to 1994, a position in which he oversaw production and business operations for the company's feature films. Following his departure, he co-founded DreamWorks SKG in 1994, where he served as the company's chief executive officer (CEO) and executive producer of its animated franchises—including Shrek, Madagascar, Kung Fu Panda, and How to Train Your Dragon—until stepping down from the title in 2016. He has since founded the venture capital firm WndrCo in the same year, which invests in digital media projects, and launched Quibi in 2020, a defunct short-form mobile video platform that lost US$1.35 billion in seven months.
Katzenberg has also been involved in politics as an election donor. With active support of Hillary Clinton and Barack Obama, he was named ""one of Hollywood's premier political kingmakers and one of the Democratic Party's top national fund-raisers"". He served as a campaign co-chair for Joe Biden's 2024 presidential re-election campaign, and subsequently Kamala Harris' 2024 presidential campaign.",American,['Jewish American']
Joe Stillman,Shrek 2,Joe Stillman,"Joseph Stillman (born August 1, 1959) is an American screenwriter, producer, and director.
Before becoming a screenwriter, he worked for several TV shows, including Beavis and Butt-head, King of the Hill, Doug, and The Adventures of Pete & Pete.
Stillman also worked on screenplays for movies including Beavis and Butt-Head Do America,  Shrek and Shrek 2. He received a shared BAFTA for co-writing the first Shrek and a nomination for the Academy Award for Best Adapted Screenplay.

",American,
David N. Weiss,Shrek 2,David N. Weiss,"David N. Weiss is an American screenwriter and film director. He is the screenwriter of All Dogs Go to Heaven and Rock-a-Doodle and co-writer of The Rugrats Movie, Shrek 2, Clockstoppers, Jimmy Neutron: Boy Genius, Rugrats in Paris: The Movie, The Smurfs, its sequel, and Disenchanted with writing partner, J. David Stem. He has also written for television shows such as Mission Hill, Cybill, and Roundhouse.

",,"['Reform Jewish', 'Christianity']"
